ID;BUILDING TYPE;DEM (m);DSM (s);BUILDING HEIGHT (m);FOOTPRINT AREA (m2);FLOOR AREA (m2);;Floor height (m);3.6;m
65003.00;yes;5.87;10.89;5.02;283.43;395.11;;;;
65004.00;yes;3.35;12.51;9.16;250.82;637.87;;;;
65005.00;yes;1.65;6.38;4.73;177.52;233.18;;;;
65006.00;yes;2.09;10.94;8.85;271.46;667.37;;;;
65007.00;yes;2.78;9.09;6.31;229.93;403.24;;;;
65008.00;yes;1.09;8.00;6.91;356.81;685.19;;;;
65009.00;yes;2.43;10.91;8.48;288.98;680.81;;;;
65010.00;yes;2.48;10.98;8.50;321.22;758.63;;;;
65011.00;yes;3.28;11.88;8.60;340.34;813.19;;;;
65012.00;house;2.59;11.31;8.71;192.43;465.74;;;;
65013.00;yes;1.84;9.52;7.67;357.11;761.30;;;;
65014.00;yes;2.52;9.00;6.47;188.08;338.25;;;;
65015.00;house;3.68;9.89;6.21;211.69;364.96;;;;
65016.00;yes;1.93;8.94;7.01;396.71;772.53;;;;
65017.00;yes;3.71;8.28;4.58;1298.66;1650.41;;;;
65018.00;yes;1.23;9.35;8.11;888.40;2002.55;;;;
65019.00;yes;3.07;11.36;8.29;161.11;370.93;;;;
65020.00;yes;2.53;10.01;7.48;294.92;612.84;;;;
65021.00;yes;2.58;9.96;7.38;366.92;752.53;;;;
65022.00;yes;3.27;9.46;6.19;171.73;295.51;;;;
65023.00;yes;3.55;9.34;5.79;280.55;451.19;;;;
65024.00;yes;4.13;10.59;6.46;337.21;605.08;;;;
65025.00;yes;2.52;11.20;8.68;463.90;1118.02;;;;
65026.00;yes;2.54;12.85;10.31;110.70;317.01;;;;
65027.00;yes;2.34;9.73;7.39;185.91;381.55;;;;
65028.00;yes;2.55;10.02;7.48;359.51;746.64;;;;
65029.00;yes;4.13;9.82;5.69;327.32;517.61;;;;
65030.00;house;2.46;9.03;6.58;160.65;293.55;;;;
65031.00;yes;2.37;12.00;9.63;202.54;541.63;;;;
65032.00;yes;1.93;10.00;8.07;761.62;1707.49;;;;
65033.00;yes;1.54;11.00;9.46;1821.27;4787.99;;;;
65034.00;yes;2.55;10.91;8.36;112.63;261.61;;;;
65035.00;yes;3.74;12.00;8.26;149.59;343.05;;;;
65036.00;yes;2.28;9.47;7.19;191.77;382.79;;;;
65037.00;yes;2.58;8.71;6.13;333.29;567.24;;;;
65038.00;yes;2.78;11.25;8.47;280.94;660.76;;;;
65039.00;yes;1.82;10.44;8.62;344.72;824.99;;;;
65040.00;yes;5.34;10.23;4.89;168.50;228.97;;;;
65041.00;yes;2.53;10.04;7.51;239.19;498.74;;;;
65042.00;yes;3.87;11.47;7.60;212.49;448.34;;;;
65043.00;yes;2.47;11.53;9.06;161.83;407.24;;;;
65044.00;retail;4.74;14.38;9.64;205.79;551.04;;;;
65045.00;yes;1.76;9.99;8.24;191.42;437.88;;;;
65046.00;yes;3.60;12.21;8.61;335.00;801.34;;;;
65047.00;yes;2.54;10.43;7.89;260.31;570.38;;;;
65048.00;yes;2.89;10.55;7.67;168.72;359.42;;;;
65049.00;yes;3.89;11.53;7.64;300.85;638.51;;;;
65050.00;yes;3.90;9.73;5.82;578.36;935.80;;;;
65051.00;yes;2.76;13.04;10.28;212.65;607.24;;;;
